State,state,region,division,facilities_tot,facilities_confirmed_ag,pct
Alabama,AL,South,East South Central,15,2,0.13333333333333333
Alaska,AK,West,Pacific,12,5,0.4166666666666667
Arizona,AZ,West,Mountain,9,3,0.3333333333333333
Arkansas,AR,South,West South Central,17,12,0.7058823529411765
California,CA,West,Pacific,35,7,0.2
Colorado,CO,West,Mountain,19,19,1
Connecticut,CT,Northeast,New England,12,4,0.3333333333333333
Delaware,DE,South,South Atlantic,4,3,0.75
Florida,FL,South,South Atlantic,91,36,0.3956043956043956
Georgia,GA,South,South Atlantic,65,61,0.9384615384615385
Hawaii,HI,West,Pacific,4,3,0.75
Idaho,ID,West,Mountain,9,7,0.7777777777777778
Illinois,IL,Midwest,East North Central,25,18,0.72
Indiana,IN,Midwest,East North Central,16,9,0.5625
Iowa,IA,Midwest,West North Central,9,8,0.8888888888888888
Kansas,KS,Midwest,West North Central,8,5,0.625
Kentucky,KY,South,East South Central,12,12,1
Louisiana,LA,South,West South Central,9,9,1
Maine,ME,Northeast,New England,5,4,0.8
Maryland,MD,South,South Atlantic,23,10,0.43478260869565216
Massachusetts,MA,Northeast,New England,16,13,0.8125
Michigan,MI,Midwest,East North Central,31,20,0.6451612903225806
Minnesota,MN,Midwest,West North Central,13,8,0.6153846153846154
Mississippi,MS,South,East South Central,3,3,1
Missouri,MO,Midwest,West North Central,32,22,0.6875
Montana,MT,West,Mountain,2,1,0.5
Nebraska,NE,Midwest,West North Central,9,5,0.5555555555555556
Nevada,NV,West,Mountain,19,8,0.42105263157894735
New Hampshire,NH,Northeast,New England,7,1,0.14285714285714285
New Jersey,NJ,Northeast,Middle Atlantic,11,6,0.5454545454545454
New Mexico,NM,West,Mountain,6,1,0.16666666666666666
New York,NY,Northeast,Middle Atlantic,51,36,0.7058823529411765
North Carolina,NC,South,South Atlantic,55,44,0.8
North Dakota,ND,Midwest,West North Central,3,3,1
Ohio,OH,Midwest,East North Central,27,22,0.8148148148148148
Oklahoma,OK,South,West South Central,24,15,0.625
Oregon,OR,West,Pacific,14,14,1
Pennsylvania,PA,Northeast,Middle Atlantic,25,13,0.52
Rhode Island,RI,Northeast,New England,7,1,0.14285714285714285
South Carolina,SC,South,South Atlantic,22,18,0.8181818181818182
South Dakota,SD,Midwest,West North Central,6,2,0.3333333333333333
Tennessee,TN,South,East South Central,11,5,0.45454545454545453
Texas,TX,South,West South Central,92,87,0.9456521739130435
Utah,UT,West,Mountain,2,1,0.5
Vermont,VT,Northeast,New England,6,3,0.5
Virginia,VA,South,South Atlantic,38,27,0.7105263157894737
Washington,WA,West,Pacific,12,12,1
West Virginia,WV,South,South Atlantic,13,9,0.6923076923076923
Wisconsin,WI,Midwest,East North Central,37,5,0.13513513513513514
Wyoming,WY,West,Mountain,5,3,0.6
