State,state,total_prisons
Alabama,AL,2
Alaska,AK,5
Arizona,AZ,3
Arkansas,AR,12
California,CA,7
Colorado,CO,19
Connecticut,CT,3
Delaware,DE,3
Florida,FL,36
Georgia,GA,76
Hawaii,HI,3
Idaho,ID,7
Illinois,IL,17
Indiana,IN,8
Iowa,IA,7
Kansas,KS,5
Kentucky,KY,6
Louisiana,LA,8
Maine,ME,3
Maryland,MD,10
Massachusetts,MA,9
Michigan,MI,20
Minnesota,MN,8
Mississippi,MS,6
Missouri,MO,22
Montana,MT,1
Nebraska,NE,5
Nevada,NV,7
New Hampshire,NH,1
New Jersey,NJ,9
New Mexico,NM,1
New York,NY,30
North Carolina,NC,25
North Dakota,ND,3
Ohio,OH,22
Oklahoma,OK,15
Oregon,OR,14
Pennsylvania,PA,10
Rhode Island,RI,1
South Carolina,SC,18
South Dakota,SD,2
Tennessee,TN,5
Texas,TX,86
Utah,UT,1
Vermont,VT,3
Virginia,VA,28
Washington,WA,12
West Virginia,WV,8
Wisconsin,WI,5
Wyoming,WY,3
